Index  56Ni     Ni       Co       Fe       Ca       S        Si       O        C       
    0 1		1	 1 	  1	   1	    1	      1       1		1
    1 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
    2 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
    3 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
    4 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
    5 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
    6 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
    7 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
    8 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
    9 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   10 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   11 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   12 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   13 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   14 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   15 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   16 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   17 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   18 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   19 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   20 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   21 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   22 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   23 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   24 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   25 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   26 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   27 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   28 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   29 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   30 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   31 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   32 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   33 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   34 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   35 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   36 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   37 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   38 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   39 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   40 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   41 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   42 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   43 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   44 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   45 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   46 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   47 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   48 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   49 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   50 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   51 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   52 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   53 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   54 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   55 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   56 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   57 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   58 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   59 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   60 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   61 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   62 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   63 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   64 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   65 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   66 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   67 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   68 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   69 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   70 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   71 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   72 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   73 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   74 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   75 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   76 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   77 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   78 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   79 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   80 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   81 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   82 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   83 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   84 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   85 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   86 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   87 7.9597e-01 7.9597e-01 2.0214e-01 1.8891e-03 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
